SMILES,CF
CCC(=O)c1cccc(Cl)c1,0.39923
O=C(CBr)c1cccc([N+](=O)[O-])c1,0.45581
O=C(c1ccc(Br)cc1)C(F)(F)F,0.27211
O=C1CCc2ccc(Br)cc21,0.51883
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)CCl,0.21514
Cc1cc(C)c(N)c(Br)c1,0.48676
CNc1cccc2c1C(=O)c1ccccc1C2=O,1.15458
NC(=S)c1ccc(Cl)cc1,0.63257
O=Cc1cc(Br)cs1,0.34411
O=C(O)c1cn(C2CC2)c2cc(Cl)c(F)cc2c1=O,0.86597
O=C(O)COc1ccccc1Cl,0.33116
CCc1ccc(C(C)(C)C(=O)O)cc1I,0.41879
CCOc1ccc(Br)cc1,0.37971
COc1ccc(Br)cn1,0.23759
Brc1ccc(Oc2ccccc2)cc1,0.59561
O=S(=O)(O)c1ccc(Cl)cc1,0.19784
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,0.48918
NS(=O)(=O)c1ccc(Br)cc1,0.43812
CSc1ccc(Br)cc1,0.4748
O=[N+]([O-])c1ccc(Cl)cc1F,0.4143
COc1cc([N+](=O)[O-])ccc1Br,0.50562
O=c1[nH]c2ccc(Br)cc2s1,0.60106
Cc1cc([N+](=O)[O-])ccc1Br,0.4474
CCOC(=O)c1cc2cc(Cl)ccc2[nH]1,0.97017
Brc1ccc2[nH]c3ccccc3c2c1,1.06489
Brc1ccc2[nH]ccc2c1,0.64585
Brc1ccc2[nH]cnc2c1,0.53375
Clc1ccc2[nH]nnc2c1,0.56776
Brc1ccc2c(c1)Cc1ccccc1-2,0.96481
Oc1cc2ccc(Cl)cc2[nH]1,0.52018
FC1(F)Oc2ccc(Br)cc2O1,0.27474
Brc1ccc2c(c1)OCO2,0.40037
O=C1OC(=O)c2ccc(Br)c3cccc1c23,0.85961
Brc1ccc2c(c1)c1ccccc1n2-c1ccccc1,1.43392
Clc1ccc2cc[nH]c2c1,0.63207
Cc1ccc2ccc(Cl)cc2n1,0.80422
Brc1ccc2ncccc2c1,0.78857
Clc1ccc2nsnc2c1,0.60935
Cc1nc2cc(Cl)ccc2o1,0.49289
O=c1[nH]c2cc(Cl)ccc2o1,0.55886
Brc1ccc2oc3ccccc3c2c1,1.01631
Brc1cccc(-c2ccccc2)c1,0.75017
O=C(O)/C=C/c1cccc(Br)c1,0.75957
O=C(O)c1cccc(Br)c1,0.45927
OB(O)c1cccc(Cl)c1,0.33803
N#Cc1cccc(Cl)c1F,0.41204
O=C(O)c1cccc(I)c1C(=O)O,0.37938
Cc1c(Br)cccc1C(=O)O,0.44252
O=C(c1ccccc1)c1cccc(Cl)c1,0.69906
COC(=O)c1cccc(Br)c1,0.42458
CC(=O)c1cccc(Br)c1,0.42109
FC(F)(F)c1cccc(Br)c1,0.23906
CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,0.42725
Cc1cc(Br)cc(C)c1O,0.40098
Fc1ncc(C(F)(F)F)cc1Cl,0.1197
COc1c(C)cc(Br)cc1C,0.38248
COc1cc(C)cc(Br)c1,0.41365
Cc1ccc(O)c(Br)c1,0.34738
COc1ccc(C)cc1Br,0.44849
Clc1cc(CN2CCCCC2)ccn1,0.16232
Cc1ccnc(Br)c1,0.23023
O=C(O)c1c(F)cc(Br)cc1F,0.39594
Fc1cc(Br)cc(F)c1F,0.19185
O=C(O)c1cc(F)c(F)cc1Cl,0.30462
O=[N+]([O-])c1cc(F)c(Br)cc1F,0.42066
Cc1cc([N+](=O)[O-])c(F)cc1Cl,0.44774
Fc1cc(F)cc(Br)c1,0.24045
O=[N+]([O-])c1c(F)cc(F)cc1Br,0.33306
COC(=O)c1ccc(F)cc1Cl,0.40168
Fc1ccc(F)c(Br)c1,0.15998
CC(=O)Nc1ccc(C)c(Cl)c1,0.49201
Cc1ccc(NC(=O)N(C)C)cc1Cl,0.45797
CC(=O)Nc1ccc(F)c(Cl)c1,0.47175
COc1ccc(OC)c(Br)c1,0.41224
Cc1cc(C)c([N+](=O)[O-])cc1Br,0.48459
Cc1ccc([N+](=O)[O-])cc1Br,0.49473
COc1ccc([N+](=O)[O-])cc1Br,0.60323
O=[N+]([O-])c1ccc(OC(F)(F)F)c(Br)c1,0.43717
O=[N+]([O-])c1ccc(OCc2cccc(F)c2)c(Cl)c1,0.78998
Brc1cc2ccccc2c2ccccc12,1.13252
Brc1ccc(-c2ccc(-c3ccccc3)cc2)cc1,1.30703
CCCc1ccc(-c2ccc(Br)cc2)cc1,0.93745
