,CAS,SMILES,Exp. CF,Pred. CF,Exp. Conc. (mmol/ml),Pred. Conc. (mmol/ml)
34,3286-46-2,C/C(=C(\CCOC(=O)C(C)C)SS/C(CCOC(=O)C(C)C)=C(/C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,1.0042,1.1254098,0.0005463050430784,0.0005128566874079
35,7681-93-8,C[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@H]3O[C@@H]3/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)O,0.84043,1.1323206,0.0006429003819849,0.0004771731018628
36,1177-87-3,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0.38503,0.3383128,0.0009113840148767,0.0010372476392204
37,110871-86-8,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,1.12709,1.1137432,0.0011009005978501,0.001114093500677
38,95233-18-4,O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1,1.20835,0.96052635,0.0010140550206627,0.0012756896027136
39,298-57-7,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,1.14146,0.98593336,0.0011288274305065,0.0013068991403131
40,3605-01-4,c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,0.7286,0.5786683,0.0013407251982597,0.0016543371230097
41,84371-65-3,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,1.0349,1.1028843,0.0010055772292622,0.0009435879101404
42,13241-33-3,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)cc3O2)cc1O,1.03914,1.0379081,0.0006092717401095,0.0006099973731434
43,"55268-74-1
",O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,0.46527,0.36408675,0.0012291421931865,0.0015707353587659
44,3681-99-0,O=c1c(-c2ccc(O)cc2)coc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)ccc12,1.3196,1.1985958,0.0010375088260299,0.0011422482088013
45,50-91-9,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,0.25619,0.23870887,0.0015272508672022,0.0017611435777995
46,864070-44-0,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(O[C@H]4CCOC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,0.75154,0.65491104,0.0009225685550491,0.0010586955447734
47,135062-02-1,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,0.81426,1.009523,0.0008130889647477,0.0007057229669417
48,68302-57-8,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,1.5929,1.2736145,0.0014348068039343,0.0017945021168771
49,302962-49-8,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,1.60658,1.4789717,0.0007786613990906,0.0008458432635944
50,97-18-7,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,1.02018,1.0617151,0.0012132888835214,0.0011658250479827
51,69004-03-1,Cc1cc(-n2c(=O)[nH]c(=O)n(C)c2=O)ccc1Oc1ccc(SC(F)(F)F)cc1,0.96039,1.1320014,0.0010061402766415,0.0007977692129951
52,81110-73-8,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,0.42157,0.39730656,0.0009961477100276,0.0011450765865296
53,105816-04-4,CC(C)C1CCC(C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,0.25614,0.1920183,0.0013609342561643,0.0018154218517579
54,51-48-9,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,0.76602,1.3787296,0.0005303318950869,0.0002946521388013
55,154229-18-2,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(c4cccnc4)=CC[C@@H]32)C1,0.42473,0.47010428,0.0010522148867975,0.0009506525944114
